,word,count
24510,month,418
35478,typing,418
32045,shows,417
10584,card,416
33746,switch,413
1552,20,413
33108,start,411
31692,sent,410
17917,great,410
6719,access,410
18335,half,404
34317,terrible,403
33250,stopped,403
9971,broken,402
39021,year,401
36237,upgraded,401
14047,drain,399
37635,weeks,398
8491,autocorrect,398
11428,comes,397
10462,came,396
26883,own,394
25855,number,394
13216,devices,391
23486,mail,391
35419,twitter,391
12917,delete,389
29753,recent,389
26741,our,389
17468,gets,386
11796,contacts,385
38181,worse,383
13739,dm,382
11698,connected,381
37091,volume,381
37854,whole,381
25553,normal,379
6855,actually,378
23526,makes,378
20269,instead,377
33259,storage,377
36879,video,376
35344,turns,375
32686,songs,374
37848,who,374
22557,left,374
10774,center,369
32725,sort,369
36851,via,368
8512,automatically,367
30418,restore,366
20248,install,366
10646,case,365
28177,power,365
24189,mine,361
17605,give,361
39023,years,361
10869,changing,360
10681,cause,356
25640,notification,356
7250,alarm,355
31554,seconds,355
33562,super,354
8550,available,353
27624,pictures,351
34497,things,351
30076,release,350
20253,installed,349
35403,twice,349
8918,bar,348
16761,freeze,348
31183,safari,346
26417,once,345
33830,system,344
22710,library,344
22412,laptop,343
8804,backup,343
4671,5s,342
14734,either,341
16907,fucked,340
27922,plz,340
6882,add,338
36883,videos,337
15324,etc,337
18401,happen,336
34366,texts,335
22613,less,334
8243,ass,334
12156,crazy,333
35827,unable,332
7358,almost,331
32640,solution,331
26296,okay,330
27574,photo,330
24012,messed,329
28763,purchased,327
24490,money,327
22977,locked,326
10146,bullshit,325
28597,properly,325
12111,crap,324
20611,iphone7,323
14778,el,321
29661,real,321
35393,tweet,315
32090,sick,315
31200,said,314
34551,thought,314
11936,correct,314
16853,frustrating,312
10861,changed,312
18570,headphones,311
23045,looks,309
37797,whenever,309
10887,charged,307
29520,random,307
7165,air,307
19566,idea,306
35356,tv,306
9280,beta,303
22948,load,302
9878,brand,302
24729,multiple,302
13370,different,301
17662,glitches,301
18461,hasn,300
36355,useless,298
8616,away,297
23427,macos,296
924,15,293
16019,feature,293
10110,buggy,291
10575,car,289
13356,dies,289
32411,slower,289
19103,horrible,286
37683,were,286
28137,possible,286
14849,emails,284
27998,point,284
20362,internet,284
15395,everyone,283
36297,ur,283
14325,dying,283
11787,contact,281
16300,fixing,281
25247,newest,281
32685,song,280
33989,takes,280
18587,hear,280
6805,acting,280
31549,second,279
34866,told,279
14916,en,279
32832,speaker,279
30608,ridiculous,278
9969,broke,278
11193,click,278
36245,upgrading,278
28762,purchase,278
33752,switching,277
13480,disappointed,277
17668,glitching,276
566,12,276
10588,care,276
33486,suddenly,275
8107,around,275
30371,response,274
9935,brightness,273
37455,wanna,272
29748,receive,272
11701,connection,272
25205,network,272
16749,free,270
29749,received,269
11224,close,268
24210,mins,267
33255,stops,266
26237,oh,265
37421,waiting,264
27185,past,264
22835,little,264
27971,podcast,264
6893,address,264
22441,later,263
15010,enough,262
22535,least,262
39017,yeah,261
37416,wait,260
12135,crash,260
33597,supposed,260
35119,trash,258
33365,stuff,257
22837,live,256
17669,glitchy,256
33991,taking,256
31800,several,255
34542,those,254
29645,read,254
14108,driving,253
31578,seem,253
23043,looking,252
23019,lol,252
19569,ideas,251
9052,bc,249
8623,awful,249
18020,gt,248
14887,emojis,247
13981,downloading,247
34899,took,247
35821,un,247
30938,ruined,245
34371,tf,245
7260,album,245
16296,fixes,244
32125,sign,244
34915,top,242
31730,series,242
36016,unlock,239
32064,shut,238
11321,code,238
12353,currently,238
10868,changes,238
15573,experience,235
32263,situation,235
19074,hope,235
38901,ya,234
14126,dropped,234
23830,mean,233
30210,replacement,233
26437,online,232
25517,none,231
31664,sending,231
30225,reply,231
15795,facetime,231
31784,setting,231
737,13,230
13894,dont,230
35902,under,230
30956,run,229
33801,sync,229
19822,imac,229
24006,mess,229
28369,pretty,228
15402,everytime,227
22817,listen,226
38133,word,226
36359,user,225
29267,quick,225
36088,unresponsive,224
7597,annoyed,224
38117,wont,224
22950,loading,224
22346,lag,224
8066,aren,223
17610,gives,223
15927,faster,222
32514,snapchat,222
33792,symbol,222
15826,fail,222
29715,reboot,221
8218,asking,221
23125,low,221
18998,hold,220
24266,missing,220
29754,recently,220
28515,products,219
10910,chat,219
24021,messing,219
20604,iphone6,219
23748,maybe,218
22992,log,217
20123,info,217
37489,warranty,217
19124,hot,216
21928,killing,216
16186,files,214
36144,unusable,214
32797,space,213
29271,quickly,213
8411,audio,212
34610,thx,211
22353,lagging,211
16171,figure,211
33460,such,210
15779,face,210
16579,force,210
7796,appears,210
3882,50,209
31305,save,208
24102,mi,208
14192,due,206
17230,garbage,206
6655,absolutely,206
24218,minute,205
7631,answer,205
16839,frozen,205
38914,yall,204
12012,couple,204
38006,within,204
27442,person,203
27907,plugged,203
32643,solve,203
35224,trouble,203
31241,samsung,201
25628,noticed,201
10538,capital,201
12721,dead,201
28508,product,201
31536,search,200
23070,lose,200
20257,installing,199
23446,mad,199
32946,spotify,198
23631,maps,198
35913,understand,197
28383,previous,197
31903,she,197
32468,smh,196
5763,7plus,196
23566,man,196
28348,press,196
18727,her,196
37764,whatsapp,196
13350,died,194
28076,popping,194
36366,users,193
34568,three,193
19546,icon,192
26216,often,192
18559,he,192
10759,cellular,191
13588,display,191
16662,found,191
11993,couldn,191
14255,during,191
37503,wasn,191
25605,notes,190
17810,gotta,190
33510,suggestions,190
24415,mobile,190
27019,paid,190
27010,page,189
15911,far,188
26498,opening,188
24181,min,187
24143,might,187
25332,nice,187
528,118721,186
22802,link,184
18417,happy,184
9297,between,184
31567,security,183
30208,replaced,182
10240,buying,182
27234,payment,181
17728,god,181
14477,each,181
11893,cool,181
15802,facing,180
9355,big,180
32072,shutting,179
16040,feel,179
33114,starting,179
13474,disappeared,179
23747,may,177
14884,emoji,177
28070,pop,177
28056,poor,176
14203,dumb,175
26431,ones,175
20707,ipod,174
27630,piece,174
33793,symbols,174
7791,appear,174
22815,list,174
25513,non,173
30177,repair,173
31490,screwed,172
33116,starts,172
33999,talk,172
30138,remove,172
23009,logo,172
33485,sudden,171
13464,disabled,171
27977,podcasts,171
31482,screenshot,170
37751,whatever,170
26711,others,169
531,118936,168
39252,youtube,168
32217,single,167
30077,released,167
8926,barely,167
34952,totally,166
13349,die,166
7679,anyway,165
8214,ask,165
30206,replace,165
26,03,165
12139,crashed,165
18580,health,165
23073,losing,164
34239,telling,164
9126,become,164
37614,website,163
14954,end,163
17781,google,163
27762,plan,163
22434,late,163
22355,laggy,162
30595,rid,162
27390,perfectly,162
32171,sim,162
37988,wish,162
24483,mon,161
16954,fully,161
15032,enter,161
27620,pics,161
32095,side,161
33169,steps,161
18056,guess,161
32027,shouldn,160
16598,forever,160
10934,checked,160
24585,move,159
23003,login,158
17399,genius,158
6813,activate,157
32724,sorry,156
13969,downgrade,156
10437,called,155
16131,fi,155
30309,resetting,155
7181,airpods,155
37897,wi,154
12352,current,154
7338,allow,153
22971,location,153
30401,restarts,153
14101,drive,152
27905,plug,152
32069,shuts,151
9503,blank,151
9271,best,151
15577,experiencing,151
25544,nope,151
3116,40,151
12176,credit,151
11218,clock,150
15781,facebook,150
16850,frustrated,150
24771,must,150
38215,wouldn,150
12735,deal,150
12922,deleting,150
29849,recovery,150
11480,company,149
14120,drop,149
21376,joke,149
10228,buttons,149
37460,wanted,148
15042,entire,148
36009,unless,148
24861,myself,147
35743,uk,147
29188,quality,147
23850,media,147
33988,taken,147
38138,words,146
31584,seen,145
7160,ain,145
27622,picture,145
22358,lags,145
33738,swipe,145
24987,name,145
11601,con,145
19595,idk,145
1831,24,145
38221,wow,145
37840,white,144
8494,autocorrecting,144
17614,giving,144
11526,complete,144
7635,answers,144
37058,voice,144
9211,believe,144
7982,appreciate,143
22820,listening,143
30477,return,143
15668,extremely,143
38290,write,142
33463,suck,142
28247,pre,142
20621,iphone8,141
29752,receiving,141
17203,game,141
27394,performance,141
8791,background,140
16208,finally,140
8216,asked,140
31357,scam,139
22512,le,139
20607,iphone6s,138
6818,activation,138
20240,instagram,138
16809,friends,137
33427,subscription,137
15803,fact,136
27689,pissed,136
22040,known,136
15281,est,136
10418,calendar,136
23513,major,135
10488,cancel,135
