,word,count
456,glitching,249
457,brightness,249
458,wanna,246
459,podcast,246
460,little,245
461,received,244
462,seem,244
463,several,244
464,supposed,243
465,waiting,243
466,enough,242
467,newest,241
468,wait,239
469,took,239
470,bc,237
471,broke,236
472,awful,236
473,read,236
474,bullshit,235
475,it,235
476,live,233
477,taking,232
478,downloading,232
479,ideas,232
480,what,231
481,series,231
482,response,231
483,looking,230
484,stuff,229
485,glitchy,229
486,unlock,228
487,code,228
488,dropped,228
489,trash,227
490,shut,226
491,album,226
492,driving,225
493,run,224
494,sign,224
495,fixes,223
496,experience,221
497,top,221
498,replacement,219
499,sending,219
500,pretty,219
501,ruined,219
502,fixing,217
503,setting,216
504,faster,216
505,imac,216
506,unresponsive,216
507,loading,215
508,changes,214
509,oh,214
510,unusable,213
511,low,212
512,listen,212
513,user,212
514,sync,212
515,gives,211
516,dm,210
517,wont,210
518,hold,210
519,dont,210
520,reboot,209
521,log,209
522,products,209
523,hot,209
524,online,209
525,recently,209
526,everytime,208
527,facetime,208
528,asking,208
529,emojis,207
530,warranty,206
531,missing,206
532,due,206
533,currently,206
534,quick,205
535,lag,204
536,maybe,204
537,quickly,203
538,files,203
539,13,203
540,face,202
541,chat,201
542,save,201
543,audio,201
544,mess,200
545,space,200
546,lagging,200
547,absolutely,200
548,info,200
549,force,199
550,killing,199
551,minute,198
552,within,198
553,none,197
554,couple,197
555,frozen,196
556,appears,196
557,hope,196
558,plugged,196
559,person,195
560,lol,194
561,50,193
562,garbage,193
563,dead,193
564,fail,193
565,snapchat,193
566,word,193
567,search,192
568,product,191
569,installing,191
570,press,190
571,trouble,189
572,users,189
573,annoyed,189
574,previous,188
575,often,188
576,three,187
577,lose,187
578,figure,185
579,display,184
580,reply,184
581,icon,183
582,opening,183
583,paid,183
584,messing,183
585,spotify,182
586,tf,182
587,solve,181
588,page,181
589,might,181
590,noticed,181
591,died,180
592,symbol,180
593,cellular,180
594,mobile,179
595,thx,179
596,sooo,179
597,security,178
598,answer,176
599,notes,176
600,samsung,176
601,buying,175
602,maps,175
603,far,174
604,yeah,174
605,min,173
606,7plus,173
607,payment,172
608,you,172
609,poor,172
610,mad,172
611,nice,172
612,big,171
613,found,171
614,piece,171
615,may,170
616,shutting,169
617,suggestions,169
618,starts,168
619,happy,168
620,ones,167
621,whatsapp,166
622,feel,166
623,yall,166
624,facing,166
625,mean,165
626,starting,165
627,cool,163
628,barely,163
629,replaced,163
630,list,163
631,repair,162
632,logo,162
633,disabled,162
634,smh,161
635,podcasts,161
636,capital,161
637,appear,161
638,enter,160
639,crashed,160
640,single,159
641,disappeared,159
642,ipod,159
643,whatever,159
644,man,158
645,do,158
646,ya,157
647,perfectly,157
648,popping,157
649,screwed,157
650,link,156
651,replace,156
652,totally,156
653,pop,156
654,late,155
655,move,155
656,telling,155
657,become,155
658,remove,155
659,ask,155
660,understand,155
661,released,155
662,youtube,154
663,all,154
664,sim,154
665,losing,153
666,sudden,153
667,laggy,153
668,god,153
669,side,152
670,situation,152
671,non,152
672,google,151
673,forever,151
674,fully,151
675,others,151
676,dumb,151
677,plan,151
678,genius,150
679,anyway,150
680,login,150
681,gotta,149
682,pics,149
683,recovery,148
684,resetting,148
685,talk,148
686,downgrade,148
687,screenshot,147
688,plug,147
689,re,147
690,allow,146
691,restarts,146
692,called,146
693,shuts,146
694,airpods,146
695,end,146
696,location,146
697,checked,146
698,website,145
699,credit,145
700,unless,145
701,emoji,145
702,clock,144
703,03,144
704,frustrated,144
705,entire,144
706,buttons,144
707,gb,143
708,taken,143
709,activate,143
710,quality,142
711,drop,142
712,drive,142
713,deleting,142
714,white,141
715,swipe,141
716,wish,141
717,guess,141
718,company,140
719,health,140
720,blank,140
721,current,140
722,best,140
723,name,140
724,40,140
725,steps,139
726,wanted,139
727,giving,139
728,must,139
729,experiencing,138
730,performance,138
731,symbols,138
732,complete,137
733,lags,137
734,return,137
735,facebook,137
736,words,136
737,suck,136
738,24,135
739,background,135
740,rid,135
741,listening,135
742,voice,134
743,joke,134
744,pre,134
745,picture,133
746,media,133
747,extremely,133
748,receiving,132
749,sorry,131
750,game,130
751,known,130
752,hit,130
753,usb,129
754,major,129
755,asked,129
756,windows,128
757,uk,128
758,fi,127
759,fact,127
760,wow,127
761,causing,127
762,wife,127
763,roll,127
764,wi,126
765,deal,126
766,failed,126
767,seen,126
768,that,125
769,numbers,125
770,stay,125
771,doesnt,125
772,job,125
773,pissed,125
774,die,125
775,centre,124
776,connecting,124
777,idk,124
778,activation,123
779,advise,123
780,instagram,123
781,wants,123
782,rebooting,122
783,restored,122
784,immediately,122
785,calendar,122
786,resolve,122
787,ive,122
788,function,122
789,however,122
790,friends,122
791,finally,122
792,place,122
793,shitty,122
794,team,121
795,information,121
796,subscription,121
797,correctly,120
798,family,120
799,kind,120
800,write,120
801,customers,120
802,matter,119
803,refund,119
804,cancel,119
805,answers,119
806,highsierra,118
807,usage,118
808,bit,117
809,older,117
810,appreciate,117
811,basically,117
