,n_clusters,WCSS,silhouette_scores
0,10,403965642.7111599,-0.018406604495079408
1,20,402988713.8674285,-0.07090591024091716
2,30,402125727.24176437,0.08836791766599103
3,40,401321977.1954673,-0.06706351411842223
4,50,400464047.72177076,-0.06700097725852948
5,60,399482603.3983823,-0.14928501551899484
6,70,398576473.0365657,-0.06073582042262496
7,80,397657086.02020544,-0.1357094575268931
8,90,396682084.0996929,-0.13715329823743813
9,100,395762810.8374781,-0.13691316897055764
